cancer_group	cohort	cell_type	molecular_subtype	n
Ganglioneuroblastoma	GMKF	Neutrophil	NBL, MYCN non-amplified	12
Ganglioneuroblastoma	GMKF	T cell CD4+ (non-regulatory)	NBL, MYCN amplified	14
Ganglioneuroblastoma	GMKF	T cell CD4+ (non-regulatory)	NBL, MYCN non-amplified	12
Ganglioneuroblastoma	GMKF	T cell CD8+	NBL, MYCN amplified	14
Ganglioneuroblastoma	GMKF	T cell CD8+	NBL, MYCN non-amplified	12
Ganglioneuroblastoma	GMKF	T cell regulatory (Tregs)	NBL, MYCN amplified	14
Ganglioneuroblastoma	GMKF	T cell regulatory (Tregs)	NBL, MYCN non-amplified	12
Ganglioneuroblastoma	GMKF	uncharacterized cell	NBL, MYCN amplified	14
Ganglioneuroblastoma	GMKF	uncharacterized cell	NBL, MYCN non-amplified	12
Ganglioneuroblastoma	PBTA	B cell	NBL, MYCN amplified	2
Ganglioneuroblastoma	PBTA	B cell	NBL, MYCN non-amplified	2
Ganglioneuroblastoma	PBTA	Macrophage M1	NBL, MYCN amplified	2
Ganglioneuroblastoma	PBTA	Macrophage M1	NBL, MYCN non-amplified	2
Ganglioneuroblastoma	PBTA	Macrophage M2	NBL, MYCN amplified	2
Ganglioneuroblastoma	PBTA	Macrophage M2	NBL, MYCN non-amplified	2
Ganglioneuroblastoma	PBTA	Monocyte	NBL, MYCN amplified	2
Ganglioneuroblastoma	PBTA	Monocyte	NBL, MYCN non-amplified	2
Ganglioneuroblastoma	PBTA	Myeloid dendritic cell	NBL, MYCN amplified	2
Ganglioneuroblastoma	PBTA	Myeloid dendritic cell	NBL, MYCN non-amplified	2
Ganglioneuroblastoma	PBTA	NK cell	NBL, MYCN amplified	2
Ganglioneuroblastoma	PBTA	NK cell	NBL, MYCN non-amplified	2
Ganglioneuroblastoma	PBTA	Neutrophil	NBL, MYCN amplified	2
Ganglioneuroblastoma	PBTA	Neutrophil	NBL, MYCN non-amplified	2
Ganglioneuroblastoma	PBTA	T cell CD4+ (non-regulatory)	NBL, MYCN amplified	2
Ganglioneuroblastoma	PBTA	T cell CD4+ (non-regulatory)	NBL, MYCN non-amplified	2
Ganglioneuroblastoma	PBTA	T cell CD8+	NBL, MYCN amplified	2
Ganglioneuroblastoma	PBTA	T cell CD8+	NBL, MYCN non-amplified	2
Ganglioneuroblastoma	PBTA	T cell regulatory (Tregs)	NBL, MYCN amplified	2
Ganglioneuroblastoma	PBTA	T cell regulatory (Tregs)	NBL, MYCN non-amplified	2
Ganglioneuroblastoma	PBTA	uncharacterized cell	NBL, MYCN amplified	2
Ganglioneuroblastoma	PBTA	uncharacterized cell	NBL, MYCN non-amplified	2
Ganglioneuroblastoma	TARGET	B cell	NBL, MYCN amplified	1
Ganglioneuroblastoma	TARGET	B cell	NBL, MYCN non-amplified	19
Ganglioneuroblastoma	TARGET	Macrophage M1	NBL, MYCN amplified	1
Ganglioneuroblastoma	TARGET	Macrophage M1	NBL, MYCN non-amplified	19
Ganglioneuroblastoma	TARGET	Macrophage M2	NBL, MYCN amplified	1
Ganglioneuroblastoma	TARGET	Macrophage M2	NBL, MYCN non-amplified	19
Ganglioneuroblastoma	TARGET	Monocyte	NBL, MYCN amplified	1
Ganglioneuroblastoma	TARGET	Monocyte	NBL, MYCN non-amplified	19
Ganglioneuroblastoma	TARGET	Myeloid dendritic cell	NBL, MYCN amplified	1
Ganglioneuroblastoma	TARGET	Myeloid dendritic cell	NBL, MYCN non-amplified	19
Ganglioneuroblastoma	TARGET	NK cell	NBL, MYCN amplified	1
Ganglioneuroblastoma	TARGET	NK cell	NBL, MYCN non-amplified	19
Ganglioneuroblastoma	TARGET	Neutrophil	NBL, MYCN amplified	1
Ganglioneuroblastoma	TARGET	Neutrophil	NBL, MYCN non-amplified	19
Ganglioneuroblastoma	TARGET	T cell CD4+ (non-regulatory)	NBL, MYCN amplified	1
Ganglioneuroblastoma	TARGET	T cell CD4+ (non-regulatory)	NBL, MYCN non-amplified	19
Ganglioneuroblastoma	TARGET	T cell CD8+	NBL, MYCN amplified	1
Ganglioneuroblastoma	TARGET	T cell CD8+	NBL, MYCN non-amplified	19
Ganglioneuroblastoma	TARGET	T cell regulatory (Tregs)	NBL, MYCN amplified	1
Ganglioneuroblastoma	TARGET	T cell regulatory (Tregs)	NBL, MYCN non-amplified	19
Ganglioneuroblastoma	TARGET	uncharacterized cell	NBL, MYCN amplified	1
Ganglioneuroblastoma	TARGET	uncharacterized cell	NBL, MYCN non-amplified	19
Ganglioneuroma	PBTA	B cell	NA	3
Ganglioneuroma	PBTA	Macrophage M1	NA	3
Ganglioneuroma	PBTA	Macrophage M2	NA	3
Ganglioneuroma	PBTA	Monocyte	NA	3
Ganglioneuroma	PBTA	Myeloid dendritic cell	NA	3
Ganglioneuroma	PBTA	NK cell	NA	3
Ganglioneuroma	PBTA	Neutrophil	NA	3
Ganglioneuroma	PBTA	T cell CD4+ (non-regulatory)	NA	3
Ganglioneuroma	PBTA	T cell CD8+	NA	3
Ganglioneuroma	PBTA	T cell regulatory (Tregs)	NA	3
Ganglioneuroma	PBTA	uncharacterized cell	NA	3
Germinoma	PBTA	B cell	NA	9
Germinoma	PBTA	Macrophage M1	NA	9
Germinoma	PBTA	Macrophage M2	NA	9
Germinoma	PBTA	Monocyte	NA	9
Germinoma	PBTA	Myeloid dendritic cell	NA	9
Germinoma	PBTA	NK cell	NA	9
Germinoma	PBTA	Neutrophil	NA	9
Germinoma	PBTA	T cell CD4+ (non-regulatory)	NA	9
Germinoma	PBTA	T cell CD8+	NA	9
Germinoma	PBTA	T cell regulatory (Tregs)	NA	9
Germinoma	PBTA	uncharacterized cell	NA	9
Glial-neuronal tumor NOS	PBTA	B cell	GNT, BRAF V600E	2
Glial-neuronal tumor NOS	PBTA	B cell	GNT, FGFR	6
Glial-neuronal tumor NOS	PBTA	B cell	GNT, KIAA1549-BRAF	1
Glial-neuronal tumor NOS	PBTA	B cell	GNT, RTK	4
Glial-neuronal tumor NOS	PBTA	B cell	GNT, RTK, CDKN2A/B	2
Glial-neuronal tumor NOS	PBTA	B cell	GNT, To be classified	2
Glial-neuronal tumor NOS	PBTA	B cell	GNT, other MAPK	3
Glial-neuronal tumor NOS	PBTA	B cell	GNT, other MAPK, CDKN2A/B	1
Glial-neuronal tumor NOS	PBTA	B cell	GNT, wildtype	6
Glial-neuronal tumor NOS	PBTA	Macrophage M1	GNT, BRAF V600E	2
Glial-neuronal tumor NOS	PBTA	Macrophage M1	GNT, FGFR	6
Glial-neuronal tumor NOS	PBTA	Macrophage M1	GNT, KIAA1549-BRAF	1
Glial-neuronal tumor NOS	PBTA	Macrophage M1	GNT, RTK	4
Glial-neuronal tumor NOS	PBTA	Macrophage M1	GNT, RTK, CDKN2A/B	2
Glial-neuronal tumor NOS	PBTA	Macrophage M1	GNT, To be classified	2
Glial-neuronal tumor NOS	PBTA	Macrophage M1	GNT, other MAPK	3
Glial-neuronal tumor NOS	PBTA	Macrophage M1	GNT, other MAPK, CDKN2A/B	1
Glial-neuronal tumor NOS	PBTA	Macrophage M1	GNT, wildtype	6
Glial-neuronal tumor NOS	PBTA	Macrophage M2	GNT, BRAF V600E	2
Glial-neuronal tumor NOS	PBTA	Macrophage M2	GNT, FGFR	6
Glial-neuronal tumor NOS	PBTA	Macrophage M2	GNT, KIAA1549-BRAF	1
Glial-neuronal tumor NOS	PBTA	Macrophage M2	GNT, RTK	4
Glial-neuronal tumor NOS	PBTA	Macrophage M2	GNT, RTK, CDKN2A/B	2
Glial-neuronal tumor NOS	PBTA	Macrophage M2	GNT, To be classified	2
Glial-neuronal tumor NOS	PBTA	Macrophage M2	GNT, other MAPK	3
Glial-neuronal tumor NOS	PBTA	Macrophage M2	GNT, other MAPK, CDKN2A/B	1
Glial-neuronal tumor NOS	PBTA	Macrophage M2	GNT, wildtype	6
Glial-neuronal tumor NOS	PBTA	Monocyte	GNT, BRAF V600E	2
Glial-neuronal tumor NOS	PBTA	Monocyte	GNT, FGFR	6
Glial-neuronal tumor NOS	PBTA	Monocyte	GNT, KIAA1549-BRAF	1
Glial-neuronal tumor NOS	PBTA	Monocyte	GNT, RTK	4
Glial-neuronal tumor NOS	PBTA	Monocyte	GNT, RTK, CDKN2A/B	2
Glial-neuronal tumor NOS	PBTA	Monocyte	GNT, To be classified	2
Glial-neuronal tumor NOS	PBTA	Monocyte	GNT, other MAPK	3
Glial-neuronal tumor NOS	PBTA	Monocyte	GNT, other MAPK, CDKN2A/B	1
Glial-neuronal tumor NOS	PBTA	Monocyte	GNT, wildtype	6
Glial-neuronal tumor NOS	PBTA	Myeloid dendritic cell	GNT, BRAF V600E	2
Glial-neuronal tumor NOS	PBTA	Myeloid dendritic cell	GNT, FGFR	6
Glial-neuronal tumor NOS	PBTA	Myeloid dendritic cell	GNT, KIAA1549-BRAF	1
Glial-neuronal tumor NOS	PBTA	Myeloid dendritic cell	GNT, RTK	4
Glial-neuronal tumor NOS	PBTA	Myeloid dendritic cell	GNT, RTK, CDKN2A/B	2
Glial-neuronal tumor NOS	PBTA	Myeloid dendritic cell	GNT, To be classified	2
Glial-neuronal tumor NOS	PBTA	Myeloid dendritic cell	GNT, other MAPK	3
Glial-neuronal tumor NOS	PBTA	Myeloid dendritic cell	GNT, other MAPK, CDKN2A/B	1
Glial-neuronal tumor NOS	PBTA	Myeloid dendritic cell	GNT, wildtype	6
Glial-neuronal tumor NOS	PBTA	NK cell	GNT, BRAF V600E	2
Glial-neuronal tumor NOS	PBTA	NK cell	GNT, FGFR	6
Glial-neuronal tumor NOS	PBTA	NK cell	GNT, KIAA1549-BRAF	1
Glial-neuronal tumor NOS	PBTA	NK cell	GNT, RTK	4
Glial-neuronal tumor NOS	PBTA	NK cell	GNT, RTK, CDKN2A/B	2
Glial-neuronal tumor NOS	PBTA	NK cell	GNT, To be classified	2
Glial-neuronal tumor NOS	PBTA	NK cell	GNT, other MAPK	3
Glial-neuronal tumor NOS	PBTA	NK cell	GNT, other MAPK, CDKN2A/B	1
Glial-neuronal tumor NOS	PBTA	NK cell	GNT, wildtype	6
Glial-neuronal tumor NOS	PBTA	Neutrophil	GNT, BRAF V600E	2
Glial-neuronal tumor NOS	PBTA	Neutrophil	GNT, FGFR	6
Glial-neuronal tumor NOS	PBTA	Neutrophil	GNT, KIAA1549-BRAF	1
Glial-neuronal tumor NOS	PBTA	Neutrophil	GNT, RTK	4
Glial-neuronal tumor NOS	PBTA	Neutrophil	GNT, RTK, CDKN2A/B	2
Glial-neuronal tumor NOS	PBTA	Neutrophil	GNT, To be classified	2
Glial-neuronal tumor NOS	PBTA	Neutrophil	GNT, other MAPK	3
Glial-neuronal tumor NOS	PBTA	Neutrophil	GNT, other MAPK, CDKN2A/B	1
Glial-neuronal tumor NOS	PBTA	Neutrophil	GNT, wildtype	6
Glial-neuronal tumor NOS	PBTA	T cell CD4+ (non-regulatory)	GNT, BRAF V600E	2
Glial-neuronal tumor NOS	PBTA	T cell CD4+ (non-regulatory)	GNT, FGFR	6
Glial-neuronal tumor NOS	PBTA	T cell CD4+ (non-regulatory)	GNT, KIAA1549-BRAF	1
Glial-neuronal tumor NOS	PBTA	T cell CD4+ (non-regulatory)	GNT, RTK	4
Glial-neuronal tumor NOS	PBTA	T cell CD4+ (non-regulatory)	GNT, RTK, CDKN2A/B	2
Glial-neuronal tumor NOS	PBTA	T cell CD4+ (non-regulatory)	GNT, To be classified	2
Glial-neuronal tumor NOS	PBTA	T cell CD4+ (non-regulatory)	GNT, other MAPK	3
Glial-neuronal tumor NOS	PBTA	T cell CD4+ (non-regulatory)	GNT, other MAPK, CDKN2A/B	1
Glial-neuronal tumor NOS	PBTA	T cell CD4+ (non-regulatory)	GNT, wildtype	6
Glial-neuronal tumor NOS	PBTA	T cell CD8+	GNT, BRAF V600E	2
Glial-neuronal tumor NOS	PBTA	T cell CD8+	GNT, FGFR	6
Glial-neuronal tumor NOS	PBTA	T cell CD8+	GNT, KIAA1549-BRAF	1
Glial-neuronal tumor NOS	PBTA	T cell CD8+	GNT, RTK	4
Glial-neuronal tumor NOS	PBTA	T cell CD8+	GNT, RTK, CDKN2A/B	2
Glial-neuronal tumor NOS	PBTA	T cell CD8+	GNT, To be classified	2
Glial-neuronal tumor NOS	PBTA	T cell CD8+	GNT, other MAPK	3
Glial-neuronal tumor NOS	PBTA	T cell CD8+	GNT, other MAPK, CDKN2A/B	1
Glial-neuronal tumor NOS	PBTA	T cell CD8+	GNT, wildtype	6
Glial-neuronal tumor NOS	PBTA	T cell regulatory (Tregs)	GNT, BRAF V600E	2
Glial-neuronal tumor NOS	PBTA	T cell regulatory (Tregs)	GNT, FGFR	6
Glial-neuronal tumor NOS	PBTA	T cell regulatory (Tregs)	GNT, KIAA1549-BRAF	1
Glial-neuronal tumor NOS	PBTA	T cell regulatory (Tregs)	GNT, RTK	4
Glial-neuronal tumor NOS	PBTA	T cell regulatory (Tregs)	GNT, RTK, CDKN2A/B	2
Glial-neuronal tumor NOS	PBTA	T cell regulatory (Tregs)	GNT, To be classified	2
Glial-neuronal tumor NOS	PBTA	T cell regulatory (Tregs)	GNT, other MAPK	3
Glial-neuronal tumor NOS	PBTA	T cell regulatory (Tregs)	GNT, other MAPK, CDKN2A/B	1
Glial-neuronal tumor NOS	PBTA	T cell regulatory (Tregs)	GNT, wildtype	6
Glial-neuronal tumor NOS	PBTA	uncharacterized cell	GNT, BRAF V600E	2
Glial-neuronal tumor NOS	PBTA	uncharacterized cell	GNT, FGFR	6
Glial-neuronal tumor NOS	PBTA	uncharacterized cell	GNT, KIAA1549-BRAF	1
Glial-neuronal tumor NOS	PBTA	uncharacterized cell	GNT, RTK	4
Glial-neuronal tumor NOS	PBTA	uncharacterized cell	GNT, RTK, CDKN2A/B	2
Glial-neuronal tumor NOS	PBTA	uncharacterized cell	GNT, To be classified	2
Glial-neuronal tumor NOS	PBTA	uncharacterized cell	GNT, other MAPK	3
Glial-neuronal tumor NOS	PBTA	uncharacterized cell	GNT, other MAPK, CDKN2A/B	1
Glial-neuronal tumor NOS	PBTA	uncharacterized cell	GNT, wildtype	6
Hemangioblastoma	PBTA	B cell	NA	6
Hemangioblastoma	PBTA	Macrophage M1	NA	6
Hemangioblastoma	PBTA	Macrophage M2	NA	6
Hemangioblastoma	PBTA	Monocyte	NA	6
Hemangioblastoma	PBTA	Myeloid dendritic cell	NA	6
Hemangioblastoma	PBTA	NK cell	NA	6
Hemangioblastoma	PBTA	Neutrophil	NA	6
Hemangioblastoma	PBTA	T cell CD4+ (non-regulatory)	NA	6
Hemangioblastoma	PBTA	T cell CD8+	NA	6
Hemangioblastoma	PBTA	T cell regulatory (Tregs)	NA	6
Hemangioblastoma	PBTA	uncharacterized cell	NA	6
High-grade glioma	PBTA	B cell	HGG, H3 wildtype	118
High-grade glioma	PBTA	B cell	HGG, H3 wildtype, TP53	79
High-grade glioma	PBTA	B cell	HGG, IDH	3
High-grade glioma	PBTA	B cell	HGG, IDH, TP53	12
High-grade glioma	PBTA	B cell	HGG, To be classified	46
High-grade glioma	PBTA	B cell	HGG, To be classified, TP53	1
High-grade glioma	PBTA	Macrophage M1	HGG, H3 wildtype	118
High-grade glioma	PBTA	Macrophage M1	HGG, H3 wildtype, TP53	79
High-grade glioma	PBTA	Macrophage M1	HGG, IDH	3
High-grade glioma	PBTA	Macrophage M1	HGG, IDH, TP53	12
High-grade glioma	PBTA	Macrophage M1	HGG, To be classified	46
High-grade glioma	PBTA	Macrophage M1	HGG, To be classified, TP53	1
High-grade glioma	PBTA	Macrophage M2	HGG, H3 wildtype	118
High-grade glioma	PBTA	Macrophage M2	HGG, H3 wildtype, TP53	79
High-grade glioma	PBTA	Macrophage M2	HGG, IDH	3
High-grade glioma	PBTA	Macrophage M2	HGG, IDH, TP53	12
High-grade glioma	PBTA	Macrophage M2	HGG, To be classified	46
High-grade glioma	PBTA	Macrophage M2	HGG, To be classified, TP53	1
High-grade glioma	PBTA	Monocyte	HGG, H3 wildtype	118
High-grade glioma	PBTA	Monocyte	HGG, H3 wildtype, TP53	79
High-grade glioma	PBTA	Monocyte	HGG, IDH	3
High-grade glioma	PBTA	Monocyte	HGG, IDH, TP53	12
High-grade glioma	PBTA	Monocyte	HGG, To be classified	46
High-grade glioma	PBTA	Monocyte	HGG, To be classified, TP53	1
High-grade glioma	PBTA	Myeloid dendritic cell	HGG, H3 wildtype	118
High-grade glioma	PBTA	Myeloid dendritic cell	HGG, H3 wildtype, TP53	79
High-grade glioma	PBTA	Myeloid dendritic cell	HGG, IDH	3
High-grade glioma	PBTA	Myeloid dendritic cell	HGG, IDH, TP53	12
High-grade glioma	PBTA	Myeloid dendritic cell	HGG, To be classified	46
High-grade glioma	PBTA	Myeloid dendritic cell	HGG, To be classified, TP53	1
High-grade glioma	PBTA	NK cell	HGG, H3 wildtype	118
High-grade glioma	PBTA	NK cell	HGG, H3 wildtype, TP53	79
High-grade glioma	PBTA	NK cell	HGG, IDH	3
High-grade glioma	PBTA	NK cell	HGG, IDH, TP53	12
High-grade glioma	PBTA	NK cell	HGG, To be classified	46
High-grade glioma	PBTA	NK cell	HGG, To be classified, TP53	1
High-grade glioma	PBTA	Neutrophil	HGG, H3 wildtype	118
High-grade glioma	PBTA	Neutrophil	HGG, H3 wildtype, TP53	79
High-grade glioma	PBTA	Neutrophil	HGG, IDH	3
High-grade glioma	PBTA	Neutrophil	HGG, IDH, TP53	12
High-grade glioma	PBTA	Neutrophil	HGG, To be classified	46
High-grade glioma	PBTA	Neutrophil	HGG, To be classified, TP53	1
High-grade glioma	PBTA	T cell CD4+ (non-regulatory)	HGG, H3 wildtype	118
High-grade glioma	PBTA	T cell CD4+ (non-regulatory)	HGG, H3 wildtype, TP53	79
High-grade glioma	PBTA	T cell CD4+ (non-regulatory)	HGG, IDH	3
High-grade glioma	PBTA	T cell CD4+ (non-regulatory)	HGG, IDH, TP53	12
High-grade glioma	PBTA	T cell CD4+ (non-regulatory)	HGG, To be classified	46
High-grade glioma	PBTA	T cell CD4+ (non-regulatory)	HGG, To be classified, TP53	1
High-grade glioma	PBTA	T cell CD8+	HGG, H3 wildtype	118
High-grade glioma	PBTA	T cell CD8+	HGG, H3 wildtype, TP53	79
High-grade glioma	PBTA	T cell CD8+	HGG, IDH	3
High-grade glioma	PBTA	T cell CD8+	HGG, IDH, TP53	12
High-grade glioma	PBTA	T cell CD8+	HGG, To be classified	46
High-grade glioma	PBTA	T cell CD8+	HGG, To be classified, TP53	1
High-grade glioma	PBTA	T cell regulatory (Tregs)	HGG, H3 wildtype	118
High-grade glioma	PBTA	T cell regulatory (Tregs)	HGG, H3 wildtype, TP53	79
High-grade glioma	PBTA	T cell regulatory (Tregs)	HGG, IDH	3
High-grade glioma	PBTA	T cell regulatory (Tregs)	HGG, IDH, TP53	12
High-grade glioma	PBTA	T cell regulatory (Tregs)	HGG, To be classified	46
High-grade glioma	PBTA	T cell regulatory (Tregs)	HGG, To be classified, TP53	1
High-grade glioma	PBTA	uncharacterized cell	HGG, H3 wildtype	118
High-grade glioma	PBTA	uncharacterized cell	HGG, H3 wildtype, TP53	79
High-grade glioma	PBTA	uncharacterized cell	HGG, IDH	3
High-grade glioma	PBTA	uncharacterized cell	HGG, IDH, TP53	12
High-grade glioma	PBTA	uncharacterized cell	HGG, To be classified	46
High-grade glioma	PBTA	uncharacterized cell	HGG, To be classified, TP53	1
High-grade glioma	PPTC	B cell	HGG, To be classified	8
High-grade glioma	PPTC	Macrophage M1	HGG, To be classified	8
High-grade glioma	PPTC	Macrophage M2	HGG, To be classified	8
High-grade glioma	PPTC	Monocyte	HGG, To be classified	8
High-grade glioma	PPTC	Myeloid dendritic cell	HGG, To be classified	8
High-grade glioma	PPTC	NK cell	HGG, To be classified	8
High-grade glioma	PPTC	Neutrophil	HGG, To be classified	8
High-grade glioma	PPTC	T cell CD4+ (non-regulatory)	HGG, To be classified	8
High-grade glioma	PPTC	T cell CD8+	HGG, To be classified	8
High-grade glioma	PPTC	T cell regulatory (Tregs)	HGG, To be classified	8
High-grade glioma	PPTC	uncharacterized cell	HGG, To be classified	8
Infant-type hemispheric glioma	PBTA	B cell	IHG, ALK-altered	2
Infant-type hemispheric glioma	PBTA	B cell	IHG, NTRK-altered	7
Infant-type hemispheric glioma	PBTA	B cell	IHG, NTRK-altered, TP53	1
Infant-type hemispheric glioma	PBTA	B cell	IHG, ROS1-altered	3
Infant-type hemispheric glioma	PBTA	B cell	IHG, ROS1-altered, TP53	1
Infant-type hemispheric glioma	PBTA	Macrophage M1	IHG, ALK-altered	2
Infant-type hemispheric glioma	PBTA	Macrophage M1	IHG, NTRK-altered	7
Infant-type hemispheric glioma	PBTA	Macrophage M1	IHG, NTRK-altered, TP53	1
Infant-type hemispheric glioma	PBTA	Macrophage M1	IHG, ROS1-altered	3
Infant-type hemispheric glioma	PBTA	Macrophage M1	IHG, ROS1-altered, TP53	1
Infant-type hemispheric glioma	PBTA	Macrophage M2	IHG, ALK-altered	2
Infant-type hemispheric glioma	PBTA	Macrophage M2	IHG, NTRK-altered	7
Infant-type hemispheric glioma	PBTA	Macrophage M2	IHG, NTRK-altered, TP53	1
Infant-type hemispheric glioma	PBTA	Macrophage M2	IHG, ROS1-altered	3
Infant-type hemispheric glioma	PBTA	Macrophage M2	IHG, ROS1-altered, TP53	1
Infant-type hemispheric glioma	PBTA	Monocyte	IHG, ALK-altered	2
Infant-type hemispheric glioma	PBTA	Monocyte	IHG, NTRK-altered	7
Infant-type hemispheric glioma	PBTA	Monocyte	IHG, NTRK-altered, TP53	1
Infant-type hemispheric glioma	PBTA	Monocyte	IHG, ROS1-altered	3
Infant-type hemispheric glioma	PBTA	Monocyte	IHG, ROS1-altered, TP53	1
Infant-type hemispheric glioma	PBTA	Myeloid dendritic cell	IHG, ALK-altered	2
Infant-type hemispheric glioma	PBTA	Myeloid dendritic cell	IHG, NTRK-altered	7
Infant-type hemispheric glioma	PBTA	Myeloid dendritic cell	IHG, NTRK-altered, TP53	1
Infant-type hemispheric glioma	PBTA	Myeloid dendritic cell	IHG, ROS1-altered	3
Infant-type hemispheric glioma	PBTA	Myeloid dendritic cell	IHG, ROS1-altered, TP53	1
Infant-type hemispheric glioma	PBTA	NK cell	IHG, ALK-altered	2
Infant-type hemispheric glioma	PBTA	NK cell	IHG, NTRK-altered	7
Infant-type hemispheric glioma	PBTA	NK cell	IHG, NTRK-altered, TP53	1
Infant-type hemispheric glioma	PBTA	NK cell	IHG, ROS1-altered	3
Infant-type hemispheric glioma	PBTA	NK cell	IHG, ROS1-altered, TP53	1
Infant-type hemispheric glioma	PBTA	Neutrophil	IHG, ALK-altered	2
Infant-type hemispheric glioma	PBTA	Neutrophil	IHG, NTRK-altered	7
Infant-type hemispheric glioma	PBTA	Neutrophil	IHG, NTRK-altered, TP53	1
Infant-type hemispheric glioma	PBTA	Neutrophil	IHG, ROS1-altered	3
Infant-type hemispheric glioma	PBTA	Neutrophil	IHG, ROS1-altered, TP53	1
Infant-type hemispheric glioma	PBTA	T cell CD4+ (non-regulatory)	IHG, ALK-altered	2
Infant-type hemispheric glioma	PBTA	T cell CD4+ (non-regulatory)	IHG, NTRK-altered	7
Infant-type hemispheric glioma	PBTA	T cell CD4+ (non-regulatory)	IHG, NTRK-altered, TP53	1
Infant-type hemispheric glioma	PBTA	T cell CD4+ (non-regulatory)	IHG, ROS1-altered	3
Infant-type hemispheric glioma	PBTA	T cell CD4+ (non-regulatory)	IHG, ROS1-altered, TP53	1
Infant-type hemispheric glioma	PBTA	T cell CD8+	IHG, ALK-altered	2
Infant-type hemispheric glioma	PBTA	T cell CD8+	IHG, NTRK-altered	7
Infant-type hemispheric glioma	PBTA	T cell CD8+	IHG, NTRK-altered, TP53	1
Infant-type hemispheric glioma	PBTA	T cell CD8+	IHG, ROS1-altered	3
Infant-type hemispheric glioma	PBTA	T cell CD8+	IHG, ROS1-altered, TP53	1
Infant-type hemispheric glioma	PBTA	T cell regulatory (Tregs)	IHG, ALK-altered	2
Infant-type hemispheric glioma	PBTA	T cell regulatory (Tregs)	IHG, NTRK-altered	7
Infant-type hemispheric glioma	PBTA	T cell regulatory (Tregs)	IHG, NTRK-altered, TP53	1
Infant-type hemispheric glioma	PBTA	T cell regulatory (Tregs)	IHG, ROS1-altered	3
Infant-type hemispheric glioma	PBTA	T cell regulatory (Tregs)	IHG, ROS1-altered, TP53	1
Infant-type hemispheric glioma	PBTA	uncharacterized cell	IHG, ALK-altered	2
Infant-type hemispheric glioma	PBTA	uncharacterized cell	IHG, NTRK-altered	7
Infant-type hemispheric glioma	PBTA	uncharacterized cell	IHG, NTRK-altered, TP53	1
Infant-type hemispheric glioma	PBTA	uncharacterized cell	IHG, ROS1-altered	3
Infant-type hemispheric glioma	PBTA	uncharacterized cell	IHG, ROS1-altered, TP53	1
Juvenile xanthogranuloma	PBTA	B cell	NA	2
Juvenile xanthogranuloma	PBTA	Macrophage M1	NA	2
Juvenile xanthogranuloma	PBTA	Macrophage M2	NA	2
Juvenile xanthogranuloma	PBTA	Monocyte	NA	2
Juvenile xanthogranuloma	PBTA	Myeloid dendritic cell	NA	2
Juvenile xanthogranuloma	PBTA	NK cell	NA	2
Juvenile xanthogranuloma	PBTA	Neutrophil	NA	2
Juvenile xanthogranuloma	PBTA	T cell CD4+ (non-regulatory)	NA	2
Juvenile xanthogranuloma	PBTA	T cell CD8+	NA	2
Juvenile xanthogranuloma	PBTA	T cell regulatory (Tregs)	NA	2
Juvenile xanthogranuloma	PBTA	uncharacterized cell	NA	2
Langerhans Cell histiocytosis	PBTA	B cell	NA	5
Langerhans Cell histiocytosis	PBTA	Macrophage M1	NA	5
Langerhans Cell histiocytosis	PBTA	Macrophage M2	NA	5
Langerhans Cell histiocytosis	PBTA	Monocyte	NA	5
Langerhans Cell histiocytosis	PBTA	Myeloid dendritic cell	NA	5
Langerhans Cell histiocytosis	PBTA	NK cell	NA	5
Langerhans Cell histiocytosis	PBTA	Neutrophil	NA	5
Langerhans Cell histiocytosis	PBTA	T cell CD4+ (non-regulatory)	NA	5
Langerhans Cell histiocytosis	PBTA	T cell CD8+	NA	5
Langerhans Cell histiocytosis	PBTA	T cell regulatory (Tregs)	NA	5
Langerhans Cell histiocytosis	PBTA	uncharacterized cell	NA	5
Low-grade glioma	PBTA	B cell	LGG, BRAF V600E	34
Low-grade glioma	PBTA	B cell	LGG, BRAF V600E, CDKN2A/B	8
Low-grade glioma	PBTA	B cell	LGG, BRAF V600E, other MAPK	2
Low-grade glioma	PBTA	B cell	LGG, BRAF/MAPK	3
Low-grade glioma	PBTA	B cell	LGG, FGFR	12
Low-grade glioma	PBTA	B cell	LGG, FGFR, NF1-germline	1
Low-grade glioma	PBTA	B cell	LGG, FGFR, NF1-somatic	1
Low-grade glioma	PBTA	B cell	LGG, IDH	8
Low-grade glioma	PBTA	B cell	LGG, KIAA1549-BRAF	189
Low-grade glioma	PBTA	B cell	LGG, KIAA1549-BRAF, BRAF V600E	2
Low-grade glioma	PBTA	B cell	LGG, KIAA1549-BRAF, CDKN2A/B	1
Low-grade glioma	PBTA	B cell	LGG, KIAA1549-BRAF, FGFR	2
Low-grade glioma	PBTA	B cell	LGG, KIAA1549-BRAF, RTK	8
Low-grade glioma	PBTA	B cell	LGG, KIAA1549-BRAF, other MAPK	3
Low-grade glioma	PBTA	B cell	LGG, MAPK	2
Low-grade glioma	PBTA	B cell	LGG, MYB/MYBL1	6
Low-grade glioma	PBTA	B cell	LGG, MYB/MYBL1, other MAPK	1
Low-grade glioma	PBTA	B cell	LGG, NF1-germline	6
Low-grade glioma	PBTA	B cell	LGG, NF1-germline, CDKN2A/B	3
Low-grade glioma	PBTA	B cell	LGG, NF1-germline, FGFR	2
