cancer_group	cohort	cell_type	molecular_subtype	n
CNS Embryonal tumor	PBTA	T cell CD4+ (non-regulatory)	CNS HGNET-MN1	2
CNS Embryonal tumor	PBTA	T cell CD8+	CNS Embryonal, NOS	16
CNS Embryonal tumor	PBTA	T cell CD8+	CNS HGNET-MN1	2
CNS Embryonal tumor	PBTA	T cell regulatory (Tregs)	CNS Embryonal, NOS	16
CNS Embryonal tumor	PBTA	T cell regulatory (Tregs)	CNS HGNET-MN1	2
CNS Embryonal tumor	PBTA	uncharacterized cell	CNS Embryonal, NOS	16
CNS Embryonal tumor	PBTA	uncharacterized cell	CNS HGNET-MN1	2
CNS Embryonal tumor	PPTC	B cell	CNS Embryonal, NOS	4
CNS Embryonal tumor	PPTC	Macrophage M1	CNS Embryonal, NOS	4
CNS Embryonal tumor	PPTC	Macrophage M2	CNS Embryonal, NOS	4
CNS Embryonal tumor	PPTC	Monocyte	CNS Embryonal, NOS	4
CNS Embryonal tumor	PPTC	Myeloid dendritic cell	CNS Embryonal, NOS	4
CNS Embryonal tumor	PPTC	NK cell	CNS Embryonal, NOS	4
CNS Embryonal tumor	PPTC	Neutrophil	CNS Embryonal, NOS	4
CNS Embryonal tumor	PPTC	T cell CD4+ (non-regulatory)	CNS Embryonal, NOS	4
CNS Embryonal tumor	PPTC	T cell CD8+	CNS Embryonal, NOS	4
CNS Embryonal tumor	PPTC	T cell regulatory (Tregs)	CNS Embryonal, NOS	4
CNS Embryonal tumor	PPTC	uncharacterized cell	CNS Embryonal, NOS	4
CNS neuroblastoma	PBTA	B cell	CNS NB-FOXR2	4
CNS neuroblastoma	PBTA	Macrophage M1	CNS NB-FOXR2	4
CNS neuroblastoma	PBTA	Macrophage M2	CNS NB-FOXR2	4
CNS neuroblastoma	PBTA	Monocyte	CNS NB-FOXR2	4
CNS neuroblastoma	PBTA	Myeloid dendritic cell	CNS NB-FOXR2	4
CNS neuroblastoma	PBTA	NK cell	CNS NB-FOXR2	4
CNS neuroblastoma	PBTA	Neutrophil	CNS NB-FOXR2	4
CNS neuroblastoma	PBTA	T cell CD4+ (non-regulatory)	CNS NB-FOXR2	4
CNS neuroblastoma	PBTA	T cell CD8+	CNS NB-FOXR2	4
CNS neuroblastoma	PBTA	T cell regulatory (Tregs)	CNS NB-FOXR2	4
CNS neuroblastoma	PBTA	uncharacterized cell	CNS NB-FOXR2	4
Central neurocytoma	PBTA	B cell	CNC	4
Central neurocytoma	PBTA	Macrophage M1	CNC	4
Central neurocytoma	PBTA	Macrophage M2	CNC	4
Central neurocytoma	PBTA	Monocyte	CNC	4
Central neurocytoma	PBTA	Myeloid dendritic cell	CNC	4
Central neurocytoma	PBTA	NK cell	CNC	4
Central neurocytoma	PBTA	Neutrophil	CNC	4
Central neurocytoma	PBTA	T cell CD4+ (non-regulatory)	CNC	4
Central neurocytoma	PBTA	T cell CD8+	CNC	4
Central neurocytoma	PBTA	T cell regulatory (Tregs)	CNC	4
Central neurocytoma	PBTA	uncharacterized cell	CNC	4
Chordoma	PBTA	B cell	CHDM, To be classified	129
Chordoma	PBTA	B cell	CHDM, conventional	2
Chordoma	PBTA	B cell	CHDM, poorly differentiated	7
Chordoma	PBTA	Macrophage M1	CHDM, To be classified	129
Chordoma	PBTA	Macrophage M1	CHDM, conventional	2
Chordoma	PBTA	Macrophage M1	CHDM, poorly differentiated	7
Chordoma	PBTA	Macrophage M2	CHDM, To be classified	129
Chordoma	PBTA	Macrophage M2	CHDM, conventional	2
Chordoma	PBTA	Macrophage M2	CHDM, poorly differentiated	7
Chordoma	PBTA	Monocyte	CHDM, To be classified	129
Chordoma	PBTA	Monocyte	CHDM, conventional	2
Chordoma	PBTA	Monocyte	CHDM, poorly differentiated	7
Chordoma	PBTA	Myeloid dendritic cell	CHDM, To be classified	129
Chordoma	PBTA	Myeloid dendritic cell	CHDM, conventional	2
Chordoma	PBTA	Myeloid dendritic cell	CHDM, poorly differentiated	7
Chordoma	PBTA	NK cell	CHDM, To be classified	129
Chordoma	PBTA	NK cell	CHDM, conventional	2
Chordoma	PBTA	NK cell	CHDM, poorly differentiated	7
