cancer_group	cohort	cell_type	molecular_subtype	n
Adamantinomatous Craniopharyngioma	PBTA	microenvironment score	CRANIO, ADAM	57
Adamantinomatous Craniopharyngioma	PBTA	stroma score	CRANIO, ADAM	57
Alveolar soft part sarcoma	PPTC	B cell	NA	2
Alveolar soft part sarcoma	PPTC	B cell memory	NA	2
Alveolar soft part sarcoma	PPTC	B cell naive	NA	2
Alveolar soft part sarcoma	PPTC	B cell plasma	NA	2
Alveolar soft part sarcoma	PPTC	Cancer associated fibroblast	NA	2
Alveolar soft part sarcoma	PPTC	Class-switched memory B cell	NA	2
Alveolar soft part sarcoma	PPTC	Common lymphoid progenitor	NA	2
Alveolar soft part sarcoma	PPTC	Common myeloid progenitor	NA	2
Alveolar soft part sarcoma	PPTC	Endothelial cell	NA	2
Alveolar soft part sarcoma	PPTC	Eosinophil	NA	2
Alveolar soft part sarcoma	PPTC	Granulocyte-monocyte progenitor	NA	2
Alveolar soft part sarcoma	PPTC	Hematopoietic stem cell	NA	2
Alveolar soft part sarcoma	PPTC	Macrophage	NA	2
Alveolar soft part sarcoma	PPTC	Macrophage M1	NA	2
Alveolar soft part sarcoma	PPTC	Macrophage M2	NA	2
Alveolar soft part sarcoma	PPTC	Mast cell	NA	2
Alveolar soft part sarcoma	PPTC	Monocyte	NA	2
Alveolar soft part sarcoma	PPTC	Myeloid dendritic cell	NA	2
Alveolar soft part sarcoma	PPTC	Myeloid dendritic cell activated	NA	2
Alveolar soft part sarcoma	PPTC	NK cell	NA	2
Alveolar soft part sarcoma	PPTC	Neutrophil	NA	2
Alveolar soft part sarcoma	PPTC	Plasmacytoid dendritic cell	NA	2
Alveolar soft part sarcoma	PPTC	T cell CD4+ (non-regulatory)	NA	2
Alveolar soft part sarcoma	PPTC	T cell CD4+ Th1	NA	2
Alveolar soft part sarcoma	PPTC	T cell CD4+ Th2	NA	2
Alveolar soft part sarcoma	PPTC	T cell CD4+ central memory	NA	2
Alveolar soft part sarcoma	PPTC	T cell CD4+ effector memory	NA	2
Alveolar soft part sarcoma	PPTC	T cell CD4+ memory	NA	2
Alveolar soft part sarcoma	PPTC	T cell CD4+ naive	NA	2
Alveolar soft part sarcoma	PPTC	T cell CD8+	NA	2
Alveolar soft part sarcoma	PPTC	T cell CD8+ central memory	NA	2
Alveolar soft part sarcoma	PPTC	T cell CD8+ effector memory	NA	2
Alveolar soft part sarcoma	PPTC	T cell CD8+ naive	NA	2
Alveolar soft part sarcoma	PPTC	T cell NK	NA	2
Alveolar soft part sarcoma	PPTC	T cell gamma delta	NA	2
Alveolar soft part sarcoma	PPTC	T cell regulatory (Tregs)	NA	2
Alveolar soft part sarcoma	PPTC	immune score	NA	2
Alveolar soft part sarcoma	PPTC	microenvironment score	NA	2
Alveolar soft part sarcoma	PPTC	stroma score	NA	2
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell memory	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell memory	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell memory	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell memory	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell naive	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell naive	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell naive	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell naive	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell plasma	ATRT, MYC	22
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell plasma	ATRT, SHH	23
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell plasma	ATRT, TYR	13
Atypical Teratoid Rhabdoid Tumor	PBTA	B cell plasma	ATRT, To be classified	29
Atypical Teratoid Rhabdoid Tumor	PBTA	Cancer associated fibroblast	ATRT, MYC	22
