Kids_First_Biospecimen_ID	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
BS_X0KN4VVW	0.18136044012267377	0	0.2578681038131946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5607714560641317	0	0	0	0	0
BS_WYTDVC0Y	0	0	0.24726945765166672	0	0	0.5084409656700374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14697957729636835	0
BS_WPV7N6NQ	0.29634637169226186	0	0	0.3089050140380452	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2203561283034962	0	0	0	0	0	0	0	0.17155708122375052	0	0	0	0
BS_W60PB1DS	0.4924518687298585	0	0.07575738180192397	0	0	0.15596497859098396	0	0	0	0	0.061178410512516705	0	0.08346974832902132	0	0	0	0	0	0	0	0.09823851442931388	0	0	0	0	0	0	0	0	0
BS_VS3R7XVV	0.3337268326442045	0.06563485177472411	0	0	0	0.10209045658905622	0	0	0	0	0	0	0	0	0	0	0	0.2131925211091273	0	0	0	0	0	0	0.07501040583306495	0	0	0	0	0
BS_VXDGXQKZ	0.2301349293144494	0	0	0	0.1812786205827435	0	0	0.3501760377419568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_VCE73HPW	0.15459589878014143	0	0	0	0.40025842800676237	0	0	0.2077004125055049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06663915131566683
BS_TYFD8ZMG	0	0	0	0	0	0.3210201061778223	0	0	0	0	0	0.06153911738892864	0	0	0.17039154241959134	0	0	0	0	0	0	0	0.1094155321971041	0.2271002322828463	0	0	0	0	0	0.07204433141120425
BS_TQ0J7WJQ	0.24878224352798675	0	0	0	0.2114680618316261	0	0	0.4251143594487446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_TN8CGS84	0.26217526784780676	0	0.18161408508213198	0	0.07590591169784482	0	0	0.13646944791367652	0	0	0	0.10192717221656936	0.0852203256828003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ST7KGV85	0.5186495010253188	0	0	0	0	0	0	0	0.11078213241602809	0	0	0	0	0	0.37056834633587016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_S3DSBR9Y	0.941022901697428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_RWJ0571Q	0.16507794029265874	0	0.16981693150538596	0	0.11798932122754266	0	0	0.2749841841118675	0	0	0	0.14343716900395154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_R7H6ZV8M	0.06895766497072345	0	0.1962174850620251	0	0	0.1603649304917014	0	0	0	0	0	0.3266190617063186	0	0	0	0.0768728308662455	0	0	0	0	0	0	0	0	0	0	0	0	0.06310654412246072	0
BS_R6CKWZW6	0.24657240540895659	0	0.10128699718162863	0	0	0	0	0.36390843256209676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06954157151410927	0	0	0	0	0
BS_QZRP3NSG	0.15553984408771315	0	0.17573876899758928	0	0.23256949457014647	0	0	0.17789583203959652	0.07864938577500122	0	0	0	0	0	0	0.12852087732239603	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_QZPGVNBB	0	0	0.2679796375691985	0	0	0.2332812705899794	0	0	0	0	0	0	0	0	0.2963901180925713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_QJHY513X	0.8113505790964153	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1538007918491079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_QFH9XM6Q	0.16583444116832538	0	0.18945036993188075	0	0.15342083438672816	0	0	0.24040924832130664	0	0	0	0.12975837386606387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Q6GVRAWK	0.316580679555045	0	0	0	0.22163488480378357	0	0	0.2954858250289281	0.07203159125936565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_PCVV9GJG	0.3064975286682873	0	0.3722844516082616	0	0	0	0	0	0	0	0	0	0	0	0.14291566435455005	0	0	0	0	0	0.06293034636953702	0	0	0	0	0	0	0	0	0
BS_QF7M4SHH	0.43443114971619345	0	0	0.17199080205233697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1131495567991903	0	0	0.18903820574315794	0	0	0	0	0	0	0
BS_PZ5WX9TX	0.7517329731894842	0	0	0	0	0.21920625956783088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
