Kids_First_Biospecimen_ID	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
BS_Y96RP1HJ	0.07218729507827197	0	0.2061565606618994	0	0.26593112916028205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10155048441627518	0	0	0	0	0	0	0.09785858597611839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07400016980067986	0	0	0	0	0	0	0	0	0	0
BS_Y74XAFJX	0.07272284338616054	0	0.45828488507089465	0	0.1231127152370652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0747971455353662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09885325025913003	0	0	0	0	0	0	0	0	0	0
BS_Y0DGBKTY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12720465469043768	0	0	0	0.5992238331796186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19375996218969116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_XQF18WZP	0.08493955357246719	0	0.3719010555508323	0	0.2151741099134796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1176462832297812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_XPZAD9PP	0	0	0	0	0.22264615474424007	0.19149427235184474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13468241417068297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13891844342660972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11824684349846415	0	0	0	0	0	0	0	0
BS_XNYQS1WG	0.06599163814194717	0	0.29184576338114576	0	0.23702397255338029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09726223575503974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_XNYH7VK6	0.15912896803765106	0	0	0	0.48934896370384967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12130343922531159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_XHRV3SAK	0.3084686714439588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12522382614934183	0.2331243385301228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12981224101278113	0	0	0	0	0	0	0	0
BS_X8YB5G5J	0.10208570771310557	0	0	0	0.08375693287062587	0.12970067781548125	0	0	0	0	0	0.13840815218298258	0	0	0	0	0	0	0	0	0.11849641877398097	0	0	0	0	0	0.0653220619917401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1495795826428327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_X6H86RTA	0.0705016178640741	0	0.1640925118724852	0	0.27973009165641677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09404497266263623	0	0	0	0	0	0	0.07876495684584757	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06364396593228332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06642513503115541	0	0	0	0	0	0	0	0	0	0
