Kids_First_Biospecimen_ID	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11
BS_AF5D41PD	0	0.12670029194946084	0.11330479171670292	0	0	0	0.24905121638021918	0	0.315907455274494	0	0.19503624467912303
BS_9W04ZPRR	0.3057232854376969	0	0.6942767145623031	0	0	0	0	0	0	0	0
BS_9P4NDTKJ	0	0.139662258388053	0.060714098569496215	0.12582754384900213	0	0.18549630587790727	0.12442964430703939	0	0.060048240723762615	0	0.3038219082847394
BS_8SYN7GXG	0	0.08080831052070013	0.06939725588320914	0.07208772338619299	0.06509669062800097	0	0.24128988373153357	0	0.28520580514953303	0	0.18611433070083017
BS_7PAAZQE6	0	0	0.3637469764723283	0	0	0	0	0	0.6362530235276717	0	0
BS_7PF3C1P7	0	0.10425105441508162	0.3417203703961424	0	0	0	0	0	0.554028575188776	0	0
BS_7GKF6M85	0	0.11089691276236316	0.10835890738638015	0	0	0	0.23625023752351404	0	0.2695316136047796	0	0.2749623287229631
BS_7G3AFSCR	0	0.08524335541062279	0.3210502156276881	0	0	0	0	0	0.2925653718369147	0	0.3011410571247744
BS_74SJ7YV4	0	0	0.4595889937833196	0	0	0	0	0	0.5404110062166804	0	0
BS_6VTQ3W4M	0	0	0	0	0	0	0	0	1	0	0
BS_6JBE0947	0	0.19216467780762436	0.06011729630494059	0.09343597694008345	0	0.08881123770165819	0.22039774178372498	0	0.16965999064726106	0	0.17541307881470736
BS_6DT506HY	0.3157447659423698	0	0.4731934052550171	0	0	0	0	0	0	0	0.21106182880261307
BS_6B62YT97	0	0	0.42115405234353753	0	0	0	0	0	0.5788459476564625	0	0
BS_682Z7WH6	0	0	0.0930007894382793	0	0.08306352207720724	0	0.26049516463485234	0	0.29533424069140884	0	0.21830987604253718
BS_6687ZNGS	0	0	0.3336441047353129	0	0	0	0	0	0.6663558952646871	0	0
BS_5Z0GA574	0	0	0	0	0	0.12049392679220518	0.2677534383266789	0	0.21855867068193122	0.12017085904032372	0.17200042386166717
BS_5XC635HW	0	0	0.2744105180885676	0	0	0	0.3645050223435596	0	0.36108445956787283	0	0
BS_5FBN4PPQ	0	0	0.5971884810209059	0	0	0	0	0	0.402811518979094	0	0
