Kids_First_Biospecimen_ID_DNA	Kids_First_Biospecimen_ID_RNA	Kids_First_Participant_ID	MYCN_TPM	MYCN_CN	MYCN_CN_status	sample_id	cohort	match_id	pathology_free_text_diagnosis
BS_EQE447QB	NA	PASGRL	NA	3	gain	01	GMKF	PASGRL_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_EWNSDJ7V	NA	PAUAFH	NA	NA	NA	01	GMKF	PAUAFH_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_EXDY4JFF	NA	PAUEKP	NA	NA	NA	01	GMKF	PAUEKP_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_F3ZZ4BXE	NA	PASJBY	NA	NA	NA	01	GMKF	PASJBY_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_FK3DPAWA	NA	PASPIU	NA	NA	NA	01	GMKF	PASPIU_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_FSNCPJJF	NA	PATYGV	NA	NA	NA	01	GMKF	PATYGV_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_FV0C303D	NA	PASJUU	NA	3	neutral	01	GMKF	PASJUU_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_G6ASNYWP	NA	PAUCXG	NA	NA	NA	01	GMKF	PAUCXG_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_GPNWSW71	NA	PAUCXF	NA	NA	NA	01	GMKF	PAUCXF_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_GPXZ2NQB	NA	PATYAU	NA	25	amplification	01	GMKF	PATYAU_01_Solid Tissue_Primary Tumor	MYCN amp
BS_GZ39V8AK	NA	PAVDAS	NA	NA	NA	01	GMKF	PAVDAS_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_GZG7GH62	NA	PAUNST	NA	3	gain	01	GMKF	PAUNST_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_H18ZNTNR	NA	PASDNT	NA	NA	NA	01	GMKF	PASDNT_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_H68W3CE8	NA	PASYHS	NA	3	gain	01	GMKF	PASYHS_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_H7T26DMD	NA	PATMFH	NA	NA	NA	01	GMKF	PATMFH_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_H915DJY3	NA	PATIYR	NA	NA	NA	01	GMKF	PATIYR_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_HEP8QTNN	NA	PATTDY	NA	NA	NA	01	GMKF	PATTDY_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_HQYHVPC9	NA	PAUCMD	NA	3	gain	01	GMKF	PAUCMD_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_J2DA5W77	NA	PARUFS	NA	3	gain	01	GMKF	PARUFS_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_J5C6FMYZ	NA	PAUPSP	NA	3	gain	01	GMKF	PAUPSP_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_J8YAY1HM	NA	PATXGG	NA	NA	NA	01	GMKF	PATXGG_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_JXVVZ2S8	NA	PATHYD	NA	3	gain	01	GMKF	PATHYD_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_K9P9N35B	NA	PATSEC	NA	NA	NA	09	GMKF	PATSEC_09_Bone Marrow_Primary Tumor	MYCN non-amp
BS_KXRFQF5N	NA	PASXRJ	NA	NA	NA	01	GMKF	PASXRJ_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_M0N8YXTA	NA	PAUBVN	NA	NA	NA	01	GMKF	PAUBVN_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_MA4DE9P2	NA	PAUTLP	NA	246	amplification	01	GMKF	PAUTLP_01_Solid Tissue_Primary Tumor	MYCN amp
BS_MMCZHZE6	NA	PAUAZA	NA	NA	NA	01	GMKF	PAUAZA_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_MQ6RKJCD	NA	PASSFD	NA	NA	NA	01	GMKF	PASSFD_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_MTQ7F28J	NA	PASFNY	NA	64	amplification	01	GMKF	PASFNY_01_Solid Tissue_Primary Tumor	MYCN amp
BS_MYVQ8YDT	NA	PASTVV	NA	NA	NA	01	GMKF	PASTVV_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_NB0ESCXK	NA	PATTCU	NA	NA	NA	01	GMKF	PATTCU_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_NGBKDYFB	NA	PATVYZ	NA	NA	NA	01	GMKF	PATVYZ_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_NWCPQC60	NA	PAUEWF	NA	NA	NA	01	GMKF	PAUEWF_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_P4C0QJ9K	NA	PAUVTG	NA	NA	NA	01	GMKF	PAUVTG_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_P69A72G2	NA	PATSSG	NA	3	gain	01	GMKF	PATSSG_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_P6FPBJM8	NA	PASXRG	NA	NA	NA	01	GMKF	PASXRG_01_Solid Tissue_Primary Tumor	MYCN amp
BS_P8X3GAEP	NA	PASGGI	NA	NA	NA	01	GMKF	PASGGI_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_P9FWPEYY	NA	PATNZR	NA	NA	NA	01	GMKF	PATNZR_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_PDWEETXG	NA	PATVVB	NA	3	gain	01	GMKF	PATVVB_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_PWXXZMSR	NA	PATYRV	NA	NA	NA	01	GMKF	PATYRV_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_Q4PTDFKS	NA	PAVCPT	NA	NA	NA	01	GMKF	PAVCPT_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_QEKBZRMD	NA	PAUALH	NA	3	loss	01	GMKF	PAUALH_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_QNQDTDCS	NA	PATWEJ	NA	3	gain	01	GMKF	PATWEJ_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_QSTNH2MJ	NA	PATYNP	NA	3	gain	01	GMKF	PATYNP_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_QWC51APP	NA	PAUIWS	NA	NA	NA	01	GMKF	PAUIWS_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_QXZZY4SJ	NA	PAUDFJ	NA	NA	NA	01	GMKF	PAUDFJ_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_R2G2TPBV	NA	PAUFKP	NA	NA	NA	01	GMKF	PAUFKP_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_S0T1WT6R	NA	PATBBF	NA	3	gain	01	GMKF	PATBBF_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_S8STY9B1	NA	PAUFIT	NA	NA	NA	09	GMKF	PAUFIT_09_Bone Marrow_Primary Tumor	MYCN non-amp
BS_SFQWVZ4N	NA	PAUNBM	NA	NA	NA	01	GMKF	PAUNBM_01_Solid Tissue_Primary Tumor	MYCN non-amp
BS_SGRCCAVT	NA	PASYJF	NA	3	gain	01	GMKF	PASYJF_01_Solid Tissue_Primary Tumor	MYCN non-amp
