Kids_First_Biospecimen_ID	Signature.1A	Signature.1B	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.R1	Signature.R2	Signature.R3	Signature.U1	Signature.U2
BS_Z5VJCFNP	0	0	0	0.49447107829756193	0	0	0	0	0	0.17572701181979458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2848233694098704
BS_Z5D6G1S6	0.11516833348883582	0.18876809072088216	0	0.15390213404183117	0	0	0	0	0.37600890800845704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z4S81HG1	0	0	0	0.13346720714369653	0.06884836394010697	0	0	0	0	0.259114184288431	0	0	0	0	0	0	0	0.17136956598447378	0	0.11785618923521192	0	0	0	0	0	0	0.19092419304854003
BS_Z4Q8RH5M	0.12269113232430233	0.21328784547442228	0	0.10707820137841224	0	0	0	0	0.3298995777904877	0.06917390842046404	0	0	0	0	0	0	0.08157370922865424	0	0	0	0	0	0	0	0	0	0
BS_Z34PQDYT	0.12867276961153662	0.35136265644374587	0	0	0	0	0	0	0.30504737676948485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08181591358984315	0
BS_Z1BBZ01F	0.19913329573258293	0	0	0	0	0.4280659786429048	0	0	0.1819986204104591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z14Z2JMW	0.0995580890248609	0	0	0.29440183427045846	0	0	0	0	0.2769228963396844	0	0	0	0	0.06667230247871868	0	0	0	0	0	0	0	0	0	0	0	0.11394636887051987	0
BS_YZD4SSMA	0	0	0	0.0898460137799626	0	0	0	0	0.25198957892830254	0.13651223913896104	0	0	0.09760600076393663	0	0	0	0	0	0.11356570269774822	0	0	0	0	0	0	0	0.2212017067322631
BS_YZ2YNEJJ	0	0	0	0	0	0	0	0	0	0.5326985844970111	0	0	0	0	0	0	0	0.10988051563939948	0	0	0	0	0.07119239699205511	0	0	0	0.24955251944340967
BS_YZ0P5E8H	0	0.3752884326221765	0	0	0	0.2552737714339654	0	0	0.2320618622785498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YYAPSA5P	0	0.24937609252210713	0	0	0.2984515285619309	0	0	0	0.20961227030603644	0	0	0	0	0	0	0.07257325135357388	0	0	0.09418169349539804	0	0	0	0	0	0	0	0
BS_YXCVR90M	0.15916213570337803	0	0	0	0	0.3721117421375401	0	0	0.3443953086394565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YVFFHJ1Q	0	0.2543863365148088	0	0.06581518184407946	0	0.2716018473658105	0	0	0.2662917481126562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YRC54VPP	0.11412702357152316	0	0	0.13979461409367558	0	0	0	0	0	0.24843497234982628	0	0	0	0	0	0	0	0.06451674558374686	0	0	0	0	0	0	0	0	0.3481160155680491
BS_YPCTK927	0	0	0	0	0	0.3987162244695933	0	0	0.32305173132421355	0.1339774613225008	0	0.09256815371735845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YMDPFK0V	0.13823083405152153	0.35681160321911304	0	0.2704789433046845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10690962688646981	0	0
BS_YKQP4SBX	0.17777786827249392	0	0	0	0	0.13182155773171333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07114100511535419	0.3403959906551964
BS_YHXMYDBN	0.1308114964824576	0.13225443597960218	0	0	0	0.08255237081424659	0	0	0.36571539419423366	0.10376223978584688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YH60H2FS	0.21275850308038902	0.14267549453833778	0	0.1738877067068637	0	0	0	0	0.20323988839719062	0.087378413765205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07818916875905225	0
BS_YH4DYNQ2	0.2511777339849981	0	0	0	0	0	0	0	0.1307723036142555	0	0	0	0	0	0	0	0	0	0	0.17183828623285802	0	0	0	0	0.06805289795680491	0	0.2730281379817709
BS_YGQS4660	0.20732362803439694	0	0	0	0	0.3071777629504162	0	0	0.22207147786479264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1568264403101677
BS_YEWX69X4	0.1500069471778952	0	0	0.1613691502769203	0	0	0	0	0	0.2911304798677888	0	0	0	0	0	0	0	0	0	0	0	0	0.06076020268874421	0	0	0.25490123269063586	0
BS_YETTZ1NC	0	0	0	0.2673719269086756	0.09600852545873927	0	0	0	0.3297349206602784	0	0	0	0.08179153089240318	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YBCQBCQC	0.1280217212988801	0	0	0.2487459721255683	0	0.12817058495816258	0	0	0	0.11637448586986394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3045368101797415
BS_YB99Q6TN	0.30472953196351205	0.19189469283687083	0	0	0	0	0	0	0.344931257528828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Y9GHDZKS	0.16944683120438828	0	0	0.12776901147210118	0	0.30184913903785593	0	0	0.3410560206837243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Y7CA8B5R	0.1731053306260819	0	0	0.13650397720314336	0	0.3702967762660108	0	0	0.2060189539619546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Y74XAFJX	0.11551772479526573	0	0	0.2935746685986376	0	0	0	0	0.4044949136123503	0	0	0	0	0	0	0	0.06970042059147621	0	0	0	0	0	0	0	0.0832630385750779	0	0
BS_Y5DA59M3	0.27068502608695544	0.1196884557606034	0	0.09383093105582557	0	0	0	0	0.37844715389461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Y4ZX0YX7	0.2003843944466023	0	0	0	0	0	0	0	0	0.5107669943863311	0	0	0	0	0	0	0	0	0	0	0	0	0.0671737589457662	0	0	0.1979207684493154	0
BS_Y43VC4VG	0.20495554653512724	0	0	0.2534129668787672	0	0	0	0	0.13813389855880814	0.13726122528467927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16448947549480092	0
BS_Y3ETG5AE	0	0	0	0.08214054296127672	0	0	0	0	0.4661662961379355	0	0	0	0	0	0	0	0	0	0	0.31290831228151206	0	0	0	0	0	0	0
BS_Y3472DYJ	0.5140051002179246	0	0	0	0	0	0	0	0.3358362175433956	0	0	0	0	0	0	0	0	0	0	0.0791220497631114	0	0	0	0	0	0	0
BS_Y2C78JC4	0.26016526056698625	0.06367264755008288	0	0.27843610475023245	0	0	0	0	0	0.14984730637154522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16664592808520406	0
BS_Y0DGBKTY	0	0	0	0	0	0	0.1039486228469758	0	0	0	0	0.07593548155842862	0	0	0	0.8201158955945955	0	0	0	0	0	0	0	0	0	0	0
BS_XWQTX5HH	0.13281766838231865	0	0	0.2221961322856655	0	0	0	0	0	0.13323098685075693	0	0	0	0	0	0	0	0.15323993072741607	0	0	0	0	0	0	0	0.08185344861704234	0.180482718882229
BS_XW26N96W	0.20246118520589593	0	0	0.18755282538792323	0	0	0.14761936865569963	0	0.25987303890151703	0.17244513949152995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_XVYRXN8J	0.20354246623296976	0	0	0.37424930215554886	0	0.0858245086956069	0	0	0	0.14866195467663132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07940299804020126	0
BS_XVNNWN2Z	0	0.09194067564192308	0	0	0	0.5318435659593949	0	0	0.24805335620414182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_XVBX7ZK1	0.16219608314702613	0	0	0.20064525649148737	0	0	0	0	0.12453717309789539	0.2915982121532746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17676733405997014	0
BS_XSWF2MR1	0.10667103053526614	0	0	0.16471743098327707	0	0.46223981131492203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09531525349784213	0
BS_XPZAD9PP	0	0.1160828500722621	0	0	0.15052225778435233	0	0.3636562993574521	0	0	0	0	0	0	0	0	0.15377210090966978	0	0	0	0	0	0	0	0	0	0	0
BS_XPSD2NRJ	0	0.19055139360832485	0	0	0	0.12543453147404635	0	0	0.2794291614161012	0	0	0	0	0	0	0	0.0693301690238164	0	0	0	0	0	0	0	0	0.07383583298848055	0
BS_XNYH7VK6	0.2594992863601061	0.4342899902051261	0	0.08354738424336973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07167746523781575	0	0	0	0	0	0
BS_XNTQBZAJ	0.2337144978181406	0	0	0.30231416399178684	0	0.09662098014008771	0	0	0.14081694246238574	0	0	0	0	0	0	0.06648743674649138	0	0	0	0	0	0	0	0	0	0	0
BS_XMP9XNR9	0	0	0	0.18254484265758802	0	0	0	0	0.5029495730996225	0	0	0	0.07818941549648813	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063499003680512
BS_XMNBSBGN	0.2534098437221604	0.15664802236195563	0	0	0	0	0	0	0.2838034458783124	0	0	0	0	0	0	0	0.1348036801574688	0	0	0	0	0	0	0	0	0	0
BS_XM302FF4	0.17633274539442328	0.28975863912033034	0	0	0	0	0	0	0.26342597357373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06467952777673629	0.14040776776332134
BS_XKXDH0YJ	0	0	0	0	0	0.38817904371114725	0	0	0.24571723520180078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30805078580898854
BS_XKP747AS	0.29446333406215974	0	0	0.2060465898797694	0	0	0	0	0.2650804423624901	0	0	0	0	0	0	0	0.06928134533031682	0	0	0	0	0	0	0	0	0	0
