Kids_First_Biospecimen_ID	Signature.1A	Signature.1B	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.R1	Signature.R2	Signature.R3	Signature.U1	Signature.U2
BS_Y96RP1HJ	0.16454672823204322	0	0	0.10191955384053204	0	0.2875586614935558	0	0	0.3326808135911962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Y74XAFJX	0.11264441826790395	0	0	0.27018264233529826	0	0	0	0	0.39368270313424913	0	0	0	0	0	0	0	0.06452438305193514	0	0	0	0	0	0	0	0.08500736850795959	0	0
BS_Y0DGBKTY	0	0	0	0	0	0	0.10406596112256451	0	0	0	0	0.07600189409636256	0	0	0	0.819932144781073	0	0	0	0	0	0	0	0	0	0	0
BS_XQF18WZP	0.1728733342298097	0	0	0.10586485750701927	0	0.2520789982842214	0	0	0.13310645687908454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1467824096009566	0
BS_XPZAD9PP	0	0.14870715839751525	0	0	0.1564629973739718	0	0.3372062432738673	0	0	0	0	0	0	0	0	0.15530695310904377	0	0	0	0	0	0	0	0	0	0	0
BS_XNYQS1WG	0.16433462421782846	0	0	0.21146820302019767	0	0.22507875326230636	0	0	0.08758462733330735	0	0	0	0.09771631816599088	0	0	0	0	0	0	0	0	0	0	0	0	0.08699598831729258	0
BS_XNYH7VK6	0.2577501045219454	0.4440175070182404	0	0.071219617693769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08525491481318521	0	0	0	0	0	0
BS_XHRV3SAK	0.7619370273161223	0	0	0	0	0	0	0.08695795256528113	0	0	0	0	0	0	0	0	0	0	0	0.07244176833845475	0	0	0	0	0	0	0
BS_X8YB5G5J	0.1894291429226289	0	0	0	0.07965125475202363	0	0.2428503265390701	0	0	0.07129075075951556	0	0	0	0	0.07083183420550278	0.08460966846327575	0	0	0	0	0	0	0	0	0	0	0
BS_X6H86RTA	0.13000806026552075	0	0	0.13701132144162972	0	0.1454617313322805	0.0895093121133427	0	0.31853928496430595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065523566247877	0
BS_X5VN0FW0	0.13325464871357046	0	0	0	0	0.28078147109629675	0	0	0.3373434183456718	0.06457952739856132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_X1TRW9RH	0.19080750544084135	0	0	0	0.17957581460157376	0	0.2693254951705382	0	0	0	0.08885762527107093	0	0	0	0	0	0	0	0.1390110582029446	0	0	0	0	0	0	0	0
BS_X0KN4VVW	0.19860713241642003	0	0	0.43620280595910704	0	0	0	0	0.27443487821833423	0.09075518340613871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_WYTDVC0Y	0	0	0	0.12108579702515165	0.26924435474067554	0	0.4474722477185116	0	0	0	0	0	0	0	0	0.06023218084240727	0	0	0	0	0	0	0	0	0	0	0
BS_WPV7N6NQ	0.3055936924983591	0	0	0	0.2862665646746615	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20196766715442885	0	0	0	0	0	0.16776362087964136	0	0
BS_W60PB1DS	0.44967040599774766	0	0	0	0	0	0.19333752956643327	0	0	0	0	0.06047793789548663	0	0.09541331819737583	0	0	0	0	0	0	0	0.09534204837503844	0	0	0	0	0
BS_VS3R7XVV	0.3125301767689504	0	0	0	0	0	0.11215392313992414	0.07526199359102043	0	0	0	0	0	0	0	0	0	0	0.19098320718041456	0	0	0	0	0	0	0.25029933438622903	0
BS_VXDGXQKZ	0.19320136476844837	0	0	0	0	0	0	0	0.49645305774231263	0	0	0	0.075969825730747	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11266061993125456
BS_VCE73HPW	0	0.21664286043555822	0	0	0	0.23197849605762982	0.07177283399138545	0	0.2863025576705429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_TYFD8ZMG	0	0.10088985750863418	0	0	0.16340057939232303	0	0.1689192481805712	0	0	0	0	0.09822544143216035	0	0	0	0.30348841636082646	0	0	0	0	0.125213414699257	0	0	0	0	0	0
