Kids_First_Biospecimen_ID	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11
BS_XKXDH0YJ	0	0	0.2193207987915296	0	0	0	0	0	0.5297052226217845	0	0.2509739785866858
BS_XKP747AS	0	0.06195304800372047	0.23433624029900946	0	0	0	0	0.08907618188932052	0.37833788949806507	0	0.18400509630753445
BS_XKM2EAT4	0	0	0.24618724002042572	0	0	0.3895968629066039	0	0	0.36421589707297036	0	0
BS_XKE77TR4	0	0.1058390373645703	0.2594766086725862	0	0	0	0	0	0.5054047869675573	0.12927956699528617	0
BS_XJZQA3AP	0	0	0.13222374284713548	0	0	0	0.37377849373488314	0	0.4353996292092906	0	0
BS_XHAQXDR0	0	0.0898457855656265	0.31608810850499985	0	0	0	0	0	0.5940661059293736	0	0
BS_XH5JP8DB	0	0	0.46676753962805245	0	0	0	0	0	0.2158853148094264	0	0.3173471455625211
BS_XGVSX8BX	0	0	0.19750337713882699	0	0	0	0	0	0.5750136190209542	0	0.2274830038402188
BS_XGMXJKFX	0	0.09590313423826329	0.2468115221499879	0	0	0	0	0	0.4419601956282388	0	0.21532514798350993
BS_XEVMEYFS	0	0.13631761856529168	0.2022172373628146	0	0	0	0	0	0.6614651440718937	0	0
BS_XDY9BYRK	0	0	0.2730837455061925	0	0	0	0	0	0.4112396103448704	0	0.31567664414893715
BS_XCNGQ25H	0	0	0.24721575160534415	0	0	0	0	0	0.2983248878097518	0	0.45445936058490405
BS_XCFNEZ8E	0	0	0.27802478288262183	0	0	0	0	0	0.4348222685437436	0	0.2871529485736346
BS_XBE002WV	0	0	0.14897023871107465	0	0	0	0.26428452366038546	0	0.3811688929831349	0	0.20557634464540495
BS_XBBBE8V2	0	0	0.25579898141203694	0	0	0	0	0	0.4330598516379112	0	0.31114116695005184
BS_X9PJ715R	0	0	0.1755065205547301	0	0	0	0.2947018132210607	0	0.5297916662242091	0	0
BS_X8YB5G5J	0	1	0	0	0	0	0	0	0	0	0
BS_X7QJCVJB	0	0	0.18254989240946246	0	0	0	0.1848580251593233	0	0.29779307050722037	0	0.23603795984298986
BS_X6361T19	0	0.07888783472255859	0.2503014910339233	0	0	0	0	0	0.5438842502170014	0.1269264240265167	0
BS_X5VN0FW0	0	0.18325089464946295	0.07261200562232799	0.12876408237400605	0.06542207149672967	0.17374947288819165	0.19093122696638043	0	0.0966608189752765	0	0.08860942702762474
BS_X1TRW9RH	0	0	0.3235444326403793	0	0	0	0	0	0.6764555673596208	0	0
BS_X1R0N8QS	0	0	0.26735634206788017	0	0	0	0.3572703863703955	0	0.3753732715617243	0	0
BS_X1DSETVE	0	0.15331423441464115	0.12094474658762074	0.12434737290874207	0	0.12566646152807462	0.1151939761046413	0	0.15633742809500525	0	0.20419578036127484
