Kids_First_Biospecimen_ID	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
BS_05CHNS17	0.203230378656039	0	0	0	0.36276013018755865	0.16379582117474725	0	0	0	0	0	0	0	0	0.25706138926273403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_0AK4F99X	0.22399779849751814	0	0.0689671617350847	0	0.41028677065974417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0976566909975305	0	0	0	0	0
BS_0ATJ22QA	0.27995601071658077	0	0	0	0.1406481605199958	0	0	0.36958572819527746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_0TKQP4XJ	0.4979946848179866	0	0	0.06964549299026998	0	0	0	0.2057474345347363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07975763299375042	0	0	0	0	0	0	0
BS_13DJ6WHW	0.7362933751997776	0	0.1748932841779806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_169P1QCA	0.24302739343575394	0	0	0	0.2561651579161343	0	0	0.3014011702665184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_18RH1034	0.14747763884377957	0	0.2152148541853874	0	0	0	0	0.11846194865133962	0	0	0	0.14556794327548034	0	0	0	0.18725575294763996	0	0	0.08497171794484443	0	0	0	0	0	0	0	0	0	0	0
BS_1B00Q25Y	0.22772230365552937	0	0	0	0	0	0.17023753654871854	0	0	0	0	0	0	0	0.07593904633665045	0	0	0	0	0	0	0	0	0.1865039370918456	0.2941154705963801	0	0	0	0	0
BS_1MME7FBS	0.2973700694629684	0	0	0	0.10932445454828141	0	0	0.46970783603373456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_1Q524P3B	0.1909054458962452	0	0.19333022382709947	0	0.13673406531409923	0	0	0.253504450267061	0.09015817525790651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
