Kids_First_Biospecimen_ID	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
BS_YZD4SSMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13099391467942845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11701811916173613	0	0	0.24222363101903252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06431756086092379	0	0
BS_YZ2YNEJJ	0	0	0	0	0	0.08508081077896075	0	0	0	0	0	0.09190027824626967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1016451688029825	0	0	0	0	0	0	0	0	0.14890588309241487	0	0	0.2613941672442378	0	0	0	0	0	0	0.11431517027842547	0	0	0	0	0	0	0	0.08648454207261783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YZ0P5E8H	0.06795719028563753	0	0	0	0.14769351686599297	0	0	0	0	0	0.08802813432609669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14880794137471956	0	0	0	0	0	0	0	0	0.06975072426761522	0	0	0	0	0	0	0	0	0	0	0	0.06652028090856349	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YYAPSA5P	0	0	0	0.15437440546707673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07852063358043558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14154167313303911	0	0	0	0	0	0	0.1014600620399932	0.06049497813123828	0	0.0663387001941315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061935287843978934	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YXCVR90M	0.08353226103715192	0	0	0	0.19126598148264362	0	0	0	0	0	0.1607242844117724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YVFFHJ1Q	0.07062931892605137	0	0.3132778072579725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06375787178050789	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06889343197076554	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16408102139524905	0	0	0	0	0	0	0	0	0.06763714229712343	0	0	0	0	0
BS_YRC54VPP	0.07710450010046385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0973045255866855	0	0	0.40272802194729734	0	0	0.06475393733465196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06946016668352134	0	0	0
BS_YPCTK927	0	0	0	0	0	0.0765629806785095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06667577130294879	0	0.09159416198268225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08082152694398685	0	0	0	0	0	0	0.14556948194053507	0	0	0	0	0	0	0	0	0.12491918292997167	0	0	0	0	0
BS_YMDPFK0V	0.11709987841495864	0	0	0	0.2735001430222777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06560853202839764	0	0	0	0	0.10643775289701343	0	0	0	0	0	0	0.09405203000711511	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YKQP4SBX	0	0	0	0	0.20216966809593986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07297831019594471	0	0	0	0	0	0	0	0.1855380946063145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0603427962906819	0	0	0
