cancer_group	efo_code_prefill	mondo_code_prefill	ncit_code_prefill	efo_code_auto	mondo_code_auto	ncit_code_auto	efo_OntoDesc	mondo_OntoDesc	ncit_OntoDesc	efo_desc_match	mondo_desc_match	ncit_desc_match	efo_code_match	mondo_code_match	ncit_code_match
Low-grade glioma/astrocytoma	MONDO_0016685	MONDO_0016685	NCIT_C116342	MONDO_0021637	MONDO_0021637	NCIT_C132067	low grade glioma	low grade glioma	Low Grade Glioma	False	False	False	False	False	False
Lung Adenocarcinoma	EFO_0000571	MONDO_0005061	NCIT_C3512	EFO_0000571	MONDO_0005061	NCIT_C3512	lung adenocarcinoma	lung adenocarcinoma	Lung Adenocarcinoma	True	True	True	True	True	True
Lung Squamous Cell Carcinoma	EFO_0000708	MONDO_0005097	NCIT_C3493	EFO_0000708	MONDO_0005097	NCIT_C3493	squamous cell lung carcinoma	squamous cell lung carcinoma	Lung Squamous Cell Carcinoma	False	False	True	True	True	True
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	EFO_0000403	MONDO_0018905	NCIT_C8851	EFO_0000403	MONDO_0018905	NCIT_C171264	diffuse large B-cell lymphoma	diffuse large B-cell lymphoma	Advanced Diffuse Large B-Cell Lymphoma	False	False	False	True	True	False
Malignant peripheral nerve sheath tumor	EFO_0000760	MONDO_0017827	NCIT_C3798	EFO_0000760	MONDO_0017827	NCIT_C3798	malignant peripheral nerve sheath tumor	malignant peripheral nerve sheath tumor	Malignant Peripheral Nerve Sheath Tumor	True	True	True	True	True	True
Medulloblastoma	EFO_0002939	MONDO_0007959	NCIT_C3222	EFO_0002939	MONDO_0007959	NCIT_C3222	medulloblastoma	medulloblastoma	Medulloblastoma	True	True	True	True	True	True
Melanocytic tumor	MONDO_0003222	MONDO_0003222	NCIT_C5504	MONDO_0016744	MONDO_0016744	NCIT_C168592	primary melanocytic tumor of central nervous system	primary melanocytic tumor of central nervous system	Melanocytic Matricoma	False	False	False	False	False	False
Melanoma	EFO_0000756	MONDO_0005105	NCIT_C3224	EFO_0000756	MONDO_0005105	NCIT_C3224	melanoma	melanoma	Melanoma	True	True	True	True	True	True
Meningioma	Orphanet_2495	MONDO_0016642	NCIT_C3230	MONDO_0016642	MONDO_0016642	NCIT_C3230	meningioma	meningioma	Meningioma	True	True	True	False	True	True
Mesenchymal tumor	EFO_1000473	MONDO_0003512	NCIT_C7059	EFO_1000473	MONDO_0003512	NCIT_C7059	Phosphaturic Mesenchymal Tumor	mediastinal mesenchymal tumor	Mesenchymal Cell Neoplasm	False	False	False	True	True	True
Mesothelioma	EFO_0000588	MONDO_0005065	NCIT_C3234	EFO_0000588	MONDO_0005065	NCIT_C3234	mesothelioma	mesothelioma	Mesothelioma	True	True	True	True	True	True
Metastatic secondary tumors	EFO_0009812	MONDO_0024883	NCIT_C4968	EFO_0009709	MONDO_0024879	NCIT_C8779	metastatic neoplasm	metastatic carcinoma	Metastatic Chondrosarcoma	False	False	False	False	False	False
Mixed germ cell tumor	MONDO_0015864	MONDO_0015864	NCIT_C4290	MONDO_0015864	MONDO_0015864	NCIT_C4290	mixed germ cell tumor	mixed germ cell tumor	Mixed Germ Cell Tumor	True	True	True	True	True	True
Myeloid Neoplasm	EFO_0002427	MONDO_0005170	NCIT_C9290	EFO_0002427	MONDO_0005170	NCIT_C9290	myeloid neoplasm	myeloid neoplasm	Myeloid Neoplasm	True	True	True	True	True	True
Neuroblastoma	EFO_0000621	MONDO_0005072	NCIT_C3270	EFO_0000621	MONDO_0005072	NCIT_C3270	neuroblastoma	neuroblastoma	Neuroblastoma	True	True	True	True	True	True
Neurofibroma/Plexiform	EFO_0000658	MONDO_0003304	NCIT_C3797	EFO_0000658	MONDO_0003304	NCIT_C3797	plexiform neurofibroma	plexiform neurofibroma	Plexiform Neurofibroma	False	False	False	True	True	True
Non-germinomatous germ cell tumor	MONDO_0020580	MONDO_0020580	NCIT_C121619	MONDO_0020580	MONDO_0020580	NCIT_C121619	germinomatous germ cell tumor	germinomatous germ cell tumor	Nongerminomatous Germ Cell Tumor	False	False	False	True	True	True
Non-Hodgkin Lymphoma	EFO_0005952	MONDO_0018908	NCIT_C3211	MONDO_0042493	MONDO_0018908	NCIT_C3211	gastric non-hodgkin lymphoma	non-Hodgkin lymphoma	Non-Hodgkin Lymphoma	False	True	True	False	True	True
Oligodendroglioma	EFO_0000632	MONDO_0016695	NCIT_C3288	EFO_0000632	MONDO_0016695	NCIT_C3288	oligodendroglioma	oligodendroglioma	Oligodendroglioma	True	True	True	True	True	True
Osteosarcoma	EFO_0000637	MONDO_0009807	NCIT_C9145	EFO_0000637	MONDO_0009807	NCIT_C9145	osteosarcoma	osteosarcoma	Osteosarcoma	True	True	True	True	True	True
